City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,saldanha,-33.0117,17.9442,9.03,61,0,2.95,ZA,1691648869
272,nacala,-14.5428,40.6728,22.62,73,75,6.69,MZ,1691648869
273,mana,5.6592,-53.7767,24.66,90,12,3.88,GF,1691648870
274,kiruna,67.8557,20.2251,12.51,82,75,1.03,SE,1691648870
275,road town,18.4167,-64.6167,29.05,80,61,9.71,VG,1691648870
276,port saint john's,-31.6229,29.5448,17.01,81,20,3.87,ZA,1691648871
277,tulun,54.5611,100.5792,19.79,74,91,5.09,RU,1691648871
278,novyy urgal,51.0736,132.5642,28.25,33,18,0.23,RU,1691648872
279,adelaide,-34.9333,138.6,15.23,58,40,4.63,AU,1691648674
280,i-n-salah,27.1935,2.4607,31.5,16,0,4.72,DZ,1691648872
281,medina,24.4686,39.6142,38.24,7,0,3.09,SA,1691648817
282,la foa,-21.7108,165.8276,18.27,54,53,7.68,NC,1691648873
283,mejit,10.2753,170.8646,27.93,72,80,5.69,MH,1691648874
284,ta`u,-14.2336,-169.5144,27.63,75,33,6.48,AS,1691648874
285,yelizovo,53.1873,158.3805,17.08,77,75,6.0,RU,1691648874
286,sinabang,2.4803,96.3801,25.8,85,100,1.99,ID,1691648875
287,mirnyy,62.5353,113.9611,27.91,37,19,4.02,RU,1691648875
288,east london,-33.0153,27.9116,17.52,72,0,4.12,ZA,1691648876
289,las vegas,36.175,-115.1372,34.38,25,0,8.23,US,1691648779
290,ola,59.5833,151.2833,21.19,62,9,4.47,RU,1691648877
291,tidjikja,18.5564,-11.4271,28.65,38,22,7.01,MR,1691648877
292,ocean shores,46.9737,-124.1563,16.68,94,83,0.45,US,1691648878
293,udachny,66.4167,112.4,23.28,51,91,7.19,RU,1691648878
294,sarmiento,-45.5882,-69.07,9.24,72,99,6.43,AR,1691648878
295,gray,35.4167,-100.802,22.27,72,18,2.48,US,1691648879
296,rio grande,-32.035,-52.0986,15.53,97,100,5.55,BR,1691648879
297,loreto,22.2667,-101.9667,17.71,65,96,2.2,MX,1691648880
298,kudat,6.8837,116.8477,32.96,62,20,5.81,MY,1691648880
299,dhuusamarreeb,5.535,46.3861,27.19,55,46,9.87,SO,1691648880
